 t	x0	y0	z0	n
1.442885771543086060e+00	6.841021318049737010e-01	-1.276218338338750979e-01	7.181343473116774678e-01	0.000000000000000000e+00
1.452905811623246501e+00	6.824105953527956903e-01	-1.359733986566761532e-01	7.182109816815637204e-01	0.000000000000000000e+00
1.462925851703406721e+00	6.806169901553960067e-01	-1.443031973659401335e-01	7.182876164474618630e-01	0.000000000000000000e+00
1.472945891783567163e+00	6.787215892870724909e-01	-1.526099808525669677e-01	7.183642516020752877e-01	0.000000000000000000e+00
1.482965931863727382e+00	6.767246811315814625e-01	-1.608925033541735161e-01	7.184408871381045003e-01	0.000000000000000000e+00
1.492985971943887824e+00	6.746265693420678833e-01	-1.691495226430274335e-01	7.185175230482471198e-01	0.000000000000000000e+00
1.503006012024048044e+00	6.724275727986827045e-01	-1.773798002135126839e-01	7.185941593251972126e-01	0.000000000000000000e+00
1.513026052104208263e+00	6.701280255638970562e-01	-1.855821014690992588e-01	7.186707959616460695e-01	0.000000000000000000e+00
1.523046092184368705e+00	6.677282768355156106e-01	-1.937551959087878417e-01	7.187474329502820947e-01	0.000000000000000000e+00
1.533066132264528925e+00	6.652286908973960022e-01	-2.018978573130013054e-01	7.188240702837903617e-01	0.000000000000000000e+00
1.543086172344689366e+00	6.626296470678818551e-01	-2.100088639288953396e-01	7.189007079548531687e-01	0.000000000000000000e+00
1.553106212424849586e+00	6.599315396459544125e-01	-2.180869986550589557e-01	7.189773459561493718e-01	0.000000000000000000e+00
1.563126252505010028e+00	6.571347778551112073e-01	-2.261310492255780014e-01	7.190539842803549409e-01	0.000000000000000000e+00
1.573146292585170247e+00	6.542397857849778786e-01	-2.341398083934324859e-01	7.191306229201428479e-01	0.000000000000000000e+00
1.583166332665330689e+00	6.512470023306629052e-01	-2.421120741132007093e-01	7.192072618681834006e-01	0.000000000000000000e+00
1.593186372745490909e+00	6.481568811298595856e-01	-2.500466497230411922e-01	7.192839011171429098e-01	0.000000000000000000e+00
1.603206412825651128e+00	6.449698904977092528e-01	-2.579423441259264260e-01	7.193605406596854657e-01	0.000000000000000000e+00
1.613226452905811570e+00	6.416865133594290560e-01	-2.657979719700985788e-01	7.194371804884718280e-01	0.000000000000000000e+00
1.623246492985971789e+00	6.383072471807160753e-01	-2.736123538287213441e-01	7.195138205961597588e-01	0.000000000000000000e+00
1.633266533066132231e+00	6.348326038959384299e-01	-2.813843163786997614e-01	7.195904609754040226e-01	0.000000000000000000e+00
1.643286573146292451e+00	6.312631098341195957e-01	-2.891126925786401958e-01	7.196671016188559422e-01	0.000000000000000000e+00
